All,,,,,,,,,,,,MIN,1101,2,1,1255,3,1,24,1,25000,2.18911E+11,20,,,
AVERAGE,274541575576.5,5.6,10.0,150836493581482.0,6.3,10.3,30.8,4.2,77463.8,46141975993819200000000,,MAX,1.91122E+13,9,26,1.14202E+16,11,26,39,6,244433,2.18114E+24,5,,,
MODE.MULT,1312020.0,6.0,10.0,19139208.0,6.0,2.0,32.0,6.0,68108.0,#N/A,,MAX,19112221415185,9,26,38120205181055,10,20,39,6,144990,3.11812E+23,19.00,,,
MODE.SNGL,1312020.0,6.0,10.0,19139208.0,6.0,2.0,32.0,6.0,68108.0,#N/A,,MIN,1911,2,1,12921,3,1,24,1,26253,2.18911E+11,5.00,,,
MEDIAN,115131325.0,6.0,10.0,1351516716.0,6.0,10.0,31.0,6.0,74528.5,396152201352532000,,MAX,2181141497114,9,26,11420151495121200,11,26,36,6,244433,2.18114E+24,20.00,,,
VAR.P,4.06862E+24,2.076666667,45.55358025,1.46338E+30,2.600617284,47.38777778,10.17580247,4.683950617,932829627.6,68921005534726000000000000000000000000000000000,,MIN,1101,3,1,1255,3,1,25,1,25000,1.12524E+12,6.00,,,
VAR.S,4.11434E+24,2.1,46.06541823,1.47982E+30,2.629837703,47.92022472,10.29013733,4.736579276,943310859.4,69695398855340900000000000000000000000000000000,,,First Name,,,Last Name,,,,,,,,,,
AVEDEV,5.01233E+11,1.207407407,5.535308642,2.88845E+14,1.250617284,5.98,2.629135802,1.995061728,20842.73778,85627497711974900000000,,,Value,Length,Letter,Value,Length,Letter,Age,Race,Wealth,,,,,
SKEW,9.213918669,-0.033884001,0.358917867,9.163232972,0.506630456,0.22600402,0.254732563,-0.626510005,1.9976947,7,,all,274541575576,5.63,10.04,150836493581482,6.28,10.30,30.84,4.22,77463.8,46141975993819200000000,11.91,,,
SKEW.P,9.059636827,-0.033316633,0.352907991,9.009799834,0.498147217,0.222219711,0.250467211,-0.61601945,1.964244436,7,,eng,646001083414,5.82,10.24,1962999440604,5.97,10.12,29.91,4.26,76482.58824,18535319644299300000000,11.79,,,
Eng,,,,,,,,,,,,not,49012588675,5.52,9.93,241223972167016,6.46,10.41,31.41,4.26,76482.58824,18535319644299300000000,11.98,,,
AVERAGE,646001083413.6,5.8,10.2,1962999440603.7,6.0,10.1,29.9,4.3,76482.6,18535319644299300000000,,men,465567655049,5.31,11.11,1686593803696,6.16,9.51,31.11,4.62,82520.24444,14966714537769900000000,11.47,,,
MODE.MULT,1312020.0,7.0,19.0,21181452020.0,6.0,2.0,#SPILL!,6.0,68295.0,#N/A,,m-eng,1205371697403,5.47,10.47,2855393046604,6.53,7.24,30.06,4.47,87867.94118,36969436890623900000000,12.00,,,
MODE.SNGL,1312020.0,7.0,19.0,21181452020.0,6.0,2.0,27.0,6.0,68295.0,#N/A,,m-not,16400915048,5.21,11.50,976965691930,5.93,10.89,31.75,4.71,79273.42857,1607918823537130000000,11.14,,,
MEDIAN,115131325.0,6.0,11.0,268378316.5,6.0,10.0,30.0,5.0,71883.5,304843269731817000,,women,83515496104,5.96,8.98,299986393359268,6.40,11.09,30.58,3.82,72407.35556,77317237449868500000000,12.36,,,
VAR.P,1.041E+25,2.262975779,42.76816609,5.06441E+25,2.26384083,51.80968858,9.080449827,4.371107266,871599499.3,5367568885938350000000000000000000000000000000,,w-eng,86630469424,6.18,10.00,1070605834604,5.41,13.00,29.76,4.06,65097.23529,101202397974669000000,11.59,,,
VAR.S,1.07254E+25,2.331550802,44.06417112,5.21787E+25,2.332442068,53.37967914,9.355614973,4.503565062,898011605.3,5530222488542540000000000000000000000000000000,,w-not,81624262302,5.82,8.36,481470978642101,7.00,9.93,31.07,3.68,76845.64286,124198401588518000000000,12.82,,,
AVEDEV,1.1469E+12,1.256055363,5.515570934,3.44811E+12,1.153979239,6.190311419,2.735294118,1.892733564,22910.18685,34476081021979100000000,,,,,,,,,,,,,,,,
SKEW,5.765113309,-0.172550648,0.307231168,4.401273817,0.43197382,0.277903897,-0.012660743,-0.733229693,0.548474365,4,,For Men Bad,-2.35%,-1.38%,1.56%,-1.86%,-3.24%,7.27%,4.26%,1.84%,-2.73%,-4.28%,-2.31%,,,6.666666667
